item,itemLabel,position,positionLabel,startDate,endDate,source,sourceDate,psid
Q110493451,Chekira Hypolite,Q114676049,"Parliamentary Secretary in the Ministry of Tourism, International Transport and Maritime Initiatives with special responsibility for Air and Sea port operations",2019-12-17,,https://news.gov.dm/information/cabinet,2022-10-15,Q110493451-0A5D95B8-6ED5-4DCC-BBB0-65E28FEC2344
Q114674960,Adis King,Q114674919,"Minister for Youth Development and Empowerment, Youth at Risk, Gender Affairs, Seniors' Security and Dominicans With Disabilities",2019-12-17,,https://news.gov.dm/information/cabinet,2022-10-15,Q114674960-D4AD5E0C-276B-457E-A615-78C26C75C4B3
Q114674961,Cassani Laville,Q114674913,Minister for Public Works and The Digital Economy,2019-12-17,,https://news.gov.dm/information/cabinet,2022-10-15,Q114674961-A4EAEAEB-1086-4758-809A-DB7609B2CC6C
Q114674962,Cozier Frederick,Q114674904,"Minister for Environment, Rural Modernization and Kalinago Upliftment",2019-12-17,,https://news.gov.dm/information/cabinet,2022-10-15,Q114674962-8ABC31D3-BBA6-43C4-A6EE-D2C4F93BC7DE
Q114674963,Denise Charles,Q114674916,"Minister for Tourism, International Transport and Maritime Initiatives",2019-12-17,,https://news.gov.dm/information/cabinet,2022-10-15,Q114674963-C9FF1151-30CB-4B98-B437-5C536BD0C9E6
Q114674964,Fidel Grant,Q114674902,"Minister for Blue and Green Economy, Agriculture and National Food Security",2019-12-17,,https://news.gov.dm/information/cabinet,2022-10-15,Q114674964-2D24A748-EC5D-454F-AC76-719F0A7D7280
Q114674966,Irving McIntyre,Q114674908,"Minister for Health, Wellness and New Health Investment",2019-12-17,,https://news.gov.dm/information/cabinet,2022-10-15,Q114674966-C155AAAF-AA72-4001-ADAD-0C36FE22E220
Q114674967,Octavia Alfred,Q114674903,"Minister for Education, Human Resource Planning, Vocational Training and Nation Excellence",2019-12-17,,https://news.gov.dm/information/cabinet,2022-10-15,Q114674967-E8C0E5B1-7BF2-42FE-8145-C8A1A9D8E9F4
Q114676439,Gregory Riviere,Q114676746,"Minister of State in the Ministry of Blue and Green Economy, Agriculture and National Food Security",2021-12-02,,https://news.gov.dm/information/cabinet,2022-10-15,Q114676439-51b392b2-446b-665e-3e33-e072fd2251f8
Q114676441,Kent Edwards,Q114676039,"Parliamentary Secretary in the Ministry of Health, Wellness and New Health Investment with particular responsibility for Community and Home Care",2019-12-17,,https://news.gov.dm/information/cabinet,2022-10-15,Q114676441-50BA0EAB-8B21-4F56-9FDA-5C672A2BA65D
Q114676442,Oscar George,Q114676025,"Minister of State in the Office of the Prime Minister, with responsibility for Telecommunications and Broadcasting",2019-12-17,,https://news.gov.dm/information/cabinet,2022-10-15,Q114676442-B5D63051-63C0-4436-9070-9E5E21892346
Q114676757,Levi Peter,Q114676758,Attorney General,2013,,https://news.gov.dm/information/cabinet,2022-10-15,Q114676757-6E60A56D-E345-446E-94EC-DC68CA44FFEA
Q2805923,Vince Henderson,Q114676743,"Minister for Planning, Economic Development, Climate Resilience, Sustainable Development and Renewable Energy",2021-12-02,,https://news.gov.dm/information/cabinet,2022-10-15,Q2805923-ea0fa424-4afb-96ff-2183-002995edd342
Q57823,Roosevelt Skerrit,Q96393321,"Minister for Finance, Economic Affairs, Investment, Planning, Resilience, Sustainable Development, Telecommunications and Broadcasting",2004-01,,https://news.gov.dm/information/cabinet,2022-10-15,Q57823-BA622000-B545-4129-A36A-73AFD4872836
Q57823,Roosevelt Skerrit,Q1756747,Prime Minister,2004-01-08,,https://news.gov.dm/information/cabinet,2022-10-15,Q57823-CB9A16A5-EF04-4DD6-9EE9-601B8BAE97B1
Q59153953,Reginald Austrie,Q114674909,Minister for Housing and Urban Development,2019-12-17,,https://news.gov.dm/information/cabinet,2022-10-15,Q59153953-A0AE1038-212E-4987-A837-4CE4E907ABF2
Q59153970,Rayburn Blackmoore,Q114674910,Minister for National Security and Home Affairs,2019-12-17,,https://news.gov.dm/information/cabinet,2022-10-15,Q59153970-28CC378A-D29A-4A26-80C1-29B1F9A59C6D
Q59154059,Roselyn Paul,Q114674915,"Minister for Sports, Culture and Community Development",2019-12-17,,https://news.gov.dm/information/cabinet,2022-10-15,Q59154059-1EB00CDB-9441-4A1B-AC07-1FEBE7A91CCE
Q59154066,Kenneth Darroux,Q19895018,"Minister for Foreign Affairs, International Business and Diaspora Relations",2019-12-17,,https://news.gov.dm/information/cabinet,2022-10-15,Q59154066-c550ed5e-49f7-18c1-5864-51a158331fc8
Q5981435,Ian Douglas,Q114674917,"Minister for Trade, Commerce, Entrepreneurship, Innovation, Business and Export Development",2019-12-17,,https://news.gov.dm/information/cabinet,2022-10-15,Q5981435-B9D0A4ED-8AFE-4F7F-9479-26CFE70B0C8D
Q99957892,Gretta Roberts,Q114674907,"Minister for Governance, Public Service Reform, Citizen Empowerment, Social Justice and Ecclesiastical Affairs",2019-12-17,,https://news.gov.dm/information/cabinet,2022-10-15,Q99957892-C0878EF7-5599-49E2-B16E-62F5EA9205CC
